64900,3
65000,2
65100,4
65200,2
65300,3
65400,4
65500,4
65600,6
65700,6
65800,5
65900,5
66000,7
66100,9
66200,10
66300,8
66400,9
66500,9
66600,8
66700,7
66800,7
66900,7
67000,9
67100,7
67200,5
67300,6
67400,6
67500,6
67600,9
67700,8
67800,7
67900,7
68000,9
68100,6
68200,7
68300,6
68400,3
68500,7
68600,6
68700,5
68800,6
68900,5
69000,6
69100,7
69200,4
69300,5
69400,7
69500,7
69600,5
69700,5
69800,5
69900,7
70000,6
70100,4
70200,7
70300,3
70400,7
70500,7
70600,6
70700,7
70800,5
70900,5
71000,5
71100,5
71200,5
71300,3
71400,5
71500,3
71600,5
71700,4
71800,5
71900,6
72000,7
72100,4
72200,3
72300,2
72400,3
72500,4
72600,4
72700,3
72800,3
72900,2
73000,4
73100,4
73200,6
73300,6
73400,3
73500,6
73600,6
73700,6
73800,4
73900,6
74000,4
74100,2
74200,4
74300,3
74400,4
74500,3
74600,4
74700,4
74800,5
74900,6
75000,1
75100,1
75200,2
75300,2
75400,1
75500,3
75600,1
75700,2
75800,3
75900,1
76000,2
76100,2
76200,2
76300,1
76400,1
76500,3
76600,2
76700,1
76800,2
76900,1
77000,3
77100,2
77200,2
77300,3
77400,2
77500,1
77600,1
77700,2
77800,2
77900,2
78000,2
78100,2
78200,2
78300,1
78400,1
78500,2
78600,1
78700,1
78800,3
78900,2
79000,3
79100,3
79200,4
79300,3
79400,3
79500,2
79600,3
79700,1
79800,2
79900,3
80000,3
80100,3
80200,4
80300,4
80400,3
80500,3
80600,3
80700,3
80800,2
80900,2
81000,2
81100,3
81200,3
81300,3
81400,2
81500,2
81600,4
81700,3
81800,2
81900,3
82000,1
82100,1
82200,2
82300,3
82400,4
82500,2
82600,2
82700,2
82800,2
82900,2
83000,2
83100,3
83200,3
83300,3
83400,3
83500,4
83600,3
83700,3
83800,2
83900,0
84000,4
84100,1
84200,2
84300,4
84400,2
84500,3
84600,4
84700,2
84800,1
84900,8
85000,4
85100,1
85200,3
85300,5
85400,3
85500,2
85600,1
85700,6
85800,5
85900,6
86000,4
86100,4
86200,8
86300,5
86400,5
86500,4
86600,4
86700,6
86800,3
86900,2
87000,3
87100,3
87200,2
87300,2
87400,5
87500,5
87600,2
87700,4
87800,3
87900,4
88000,3
88100,4
88200,5
88300,4
88400,4
88500,3
88600,4
88700,3
88800,4
88900,3
89000,3
89100,5
89200,5
89300,5
89400,5
89500,3
89600,4
89700,4
89800,6
89900,3
90000,4
90100,5
90200,6
90300,3
90400,5
90500,5
90600,4
90700,4
90800,5
90900,4
91000,4
91100,5
91200,5
91300,5
91400,5
91500,6
91600,5
91700,3
91800,3
91900,3
92000,4
92100,3
92200,3
92300,3
92400,4
92500,1
92600,2
92700,4
92800,1
92900,4
93000,3
93100,3
93200,2
93300,2
93400,3
93500,2
93600,2
93700,4
93800,4
93900,2
94000,4
94100,3
94200,2
94300,0
94400,2
94500,4
94600,1
94700,2
94800,2
94900,3
95000,4
95100,4
95200,1
95300,4
95400,2
95500,2
95600,4
95700,3
95800,4
95900,2
96000,4
96100,3
96200,3
96300,2
96400,4
96500,2
96600,3
96700,5
96800,4
96900,2
97000,3
97100,6
97200,5
97300,7
97400,4
97500,5
97600,7
97700,5
97800,6
97900,3
98000,4
98100,4
98200,5
98300,4
98400,4
98500,4
98600,3
98700,7
98800,6
98900,6
99000,5
99100,4
99200,4
99300,5
99400,3
99500,2
99600,6
99700,5
99800,4
99900,2
100000,2
